id,composition,amount,price,half
lun_29,91112,0.2,2.5,TRUE
lun_29,21101,0.5,2.5,TRUE
lun_29,41201,0.25,2.5,TRUE
lun_29,192004,0.025,2.5,TRUE
lun_30,031301x,0.75,2.5,TRUE
lun_30,121239,0.5,2.5,TRUE
lun_30,192004,0.025,2.5,TRUE
lun_31,45331,0.5,1.5,TRUE
lun_31,21204,0.05,1.5,TRUE
lun_31,192004,0.025,1.5,TRUE
lun_32,45125,0.5,1.5,TRUE
lun_32,51019,0.1,1.5,TRUE
lun_32,192004,0.025,1.5,TRUE
lun_33,45201,0.5,1.5,TRUE
lun_33,51014,0.1,1.5,TRUE
lun_33,192004,0.025,1.5,TRUE
lun_34,21101,0.4,1.5,TRUE
lun_34,41201,0.05,1.5,TRUE
lun_34,43123,0.15,1.5,TRUE
lun_34,192004,0.025,1.5,TRUE
lun_35,42206,0.5,1.5,TRUE
lun_35,21204,0.075,1.5,TRUE
lun_35,192004,0.025,1.5,TRUE
lun_36,111101x,0.1,2,TRUE
lun_36,43119,0.5,2,TRUE
lun_36,192004,0.025,2,TRUE
lun_37,111101x,0.1,2,TRUE
lun_37,43208,0.5,2,TRUE
lun_37,192004,0.025,2,TRUE
lun_38,043101x,0.4,2,TRUE
lun_38,21101,0.4,2,TRUE
lun_38,43123,0.05,2,TRUE
lun_38,192004,0.05,2,TRUE
lun_39,42118,0.5,2.5,TRUE
lun_39,081111x,0.15,2.5,TRUE
lun_39,192004,0.025,2.5,TRUE
lun_40,44106,0.5,2.5,TRUE
lun_40,081111x,0.15,2.5,TRUE
lun_40,192004,0.025,2.5,TRUE
lun_41,43123,0.5,2.5,TRUE
lun_41,081111x,0.15,2.5,TRUE
lun_41,192004,0.025,2.5,TRUE
lun_42,51051,0.4,2.5,TRUE
lun_42,081111x,0.15,2.5,TRUE
lun_42,192004,0.025,2.5,TRUE
lun_43,45119,0.4,2.5,TRUE
lun_43,21204,0.05,2.5,TRUE
lun_43,081111x,0.15,2.5,TRUE
lun_43,192004,0.025,2.5,TRUE
lun_44,031301x,0.75,2.5,TRUE
lun_44,081111x,0.15,2.5,TRUE
lun_44,192004,0.025,2.5,TRUE
lun_45,081111x,0.25,4,TRUE
lun_45,43123,0.05,4,TRUE
lun_45,41201,0.05,4,TRUE
lun_45,192004,0.075,4,TRUE
lun_46,081110x,0.25,4,TRUE
lun_46,43123,0.05,4,TRUE
lun_46,41201,0.05,4,TRUE
lun_46,192004,0.075,4,TRUE
lun_47,81108,0.25,4,TRUE
lun_47,31509,0.25,4,TRUE
lun_47,192004,0.05,4,TRUE
lun_48,81114,0.125,4,TRUE
lun_48,21101,0.125,4,TRUE
lun_48,192004,0.025,4,TRUE
lun_49,91112,0.25,4,TRUE
lun_49,41201,0.05,4,TRUE
lun_49,43208,0.05,4,TRUE
lun_49,72004,0.05,4,TRUE
lun_49,192004,0.05,4,TRUE
lun_50,91303,1,7,FALSE
lun_51,82105,0.5,5,TRUE
lun_51,43123,0.05,5,TRUE
lun_51,41201,0.05,5,TRUE
lun_51,192004,0.05,5,TRUE
lun_52,121417,0.5,3.5,TRUE
lun_53,121242,0.75,3.5,TRUE
lun_53,192004,0.075,3.5,TRUE
lun_54,121203,0.5,3.5,TRUE
lun_54,43123,0.05,3.5,TRUE
lun_54,41201,0.05,3.5,TRUE
lun_54,192004,0.05,3.5,TRUE
lun_55,066201x,1,1,FALSE
lun_56,65033,1,1,FALSE
lun_57,66104,1,1,FALSE
lun_58,061101x,1,1,FALSE
lun_59,063101x,1,1,FALSE
