id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,half
20,179.35,57.605,5.78,7.195,22.85,0.77,64.5,0.114,0.098,13.5,20.45,1.6,0.7875,275.4,478.6,282.65,239.55,535.9,231.4,76.95,303.85,2.5,FALSE
21,237.7,11.91,4.88,17.69,14.78,0.42,0,0.1,0.048,0,8.7,1.22,0.575,210.8,451.2,319.3,224.1,471.8,207.8,36.9,246.7,2,FALSE
22,346.1,54.2,8.8,18.22,36.75,1.41,25.2,0.188,0.148,2,33.2,5.03,1.123,372.8,788.4,441.1,407.1,845.2,346.2,74.7,443.7,8,FALSE
23,196.7,54.43,5.74,12.25,15.88,0.98,156,0.082,0.114,9.6,33.9,1.94,0.829,284,498.4,293.3,237.3,539.8,240.6,74.1,295.5,2,FALSE
24,20.98,45.601,1.3,1.147,1.402,0.85,243.5,0.02,0.055,16,33.09,1.472,1.9567,50.49,91.72,74.23,18.21,96.78,57.38,18.09,60.47,1,TRUE
25,17.48,47.201,0.6,1.047,0.802,0.25,0,0.01,0.075,0,23.09,0.472,2.4667,32.49,40.22,32.73,24.71,39.28,20.38,3.59,28.97,1,TRUE
26,74.235,62.1015,6.075,4.2735,2.85,0.3,0,0.03,0.0225,0,123.195,1.455,0.84885,255.72,518.58,391.095,180.315,586.17,263.07,90.135,285.705,1,TRUE
27,83.485,32.6015,8.1,3.2985,5.35,0.4,0,0.015,0.035,0,154.195,2.48,0.90135,551.72,661.08,578.595,100.315,792.17,409.57,112.635,488.205,1,TRUE
28,51.485,39.9015,1,1.5985,8.25,0.35,2.5,0.04,0.02,13.5,4.195,0.43,0.20135,29.72,48.08,42.095,22.815,61.17,26.07,14.635,44.205,1,TRUE
29,19.48,45.901,0.75,1.097,1.702,1.3,1.5,0.005,0.025,0.5,17.09,2.772,0.2667,31.99,0.72,0.73,14.71,45.78,31.88,9.59,29.47,1,TRUE
30,74.38,48.511,2.89,5.897,2.382,1.08,32.5,0.018,0.107,2.5,23.79,3.622,0.0717,95.39,178.92,104.63,64.51,229.88,75.68,28.09,118.67,1.5,TRUE
31,52,85.9,0.2,0.2,12.3,1.2,3,0.06,0.02,4,4,0.6,0.19,9,12,10,11,21,7,7,14,1,FALSE
32,47,87.4,0.8,0.2,10.5,0.6,27,0.05,0.04,33,20,0.4,0.14,17,26,28,14,31,15,3,20,1,FALSE
33,43,88.7,0.5,0.2,9.9,0.4,8,0.04,0.02,25,5,0.4,0.18,11,15,18,21,34,18,8,19,1,FALSE
